,0,1,2
206,hxaxtrrp,hxlilleg,1
207,hxaxtrrp,hxblbsch,4
208,hxaxtrrp,trachrsn,2
209,hxaxtrrp,hxliu,3
210,hxaxtrrp,Nestin,7
211,hxblb,hxliur,12
212,hxblb,NKX6.1,92
213,hxblb,ISL1,94
214,hxblb,hxblbsw,43
215,hxblb,NEFH (SMI32),94
216,hxblb,hxli,29
217,hxblb,hxliuarm,13
218,hxblb,hxlill,13
219,hxblb,TUBB3 (TuJ1),92
220,hxblb,hxlilft,9
221,hxblb,hxliuhnd,18
222,hxblb,hxliul,18
223,hxblb,hxlilr,14
224,hxblb,s100b,94
225,hxblb,pavyn,11
226,hxblb,hxlil,18
227,hxblb,hxlilleg,12
228,hxblb,hxblbsch,210
229,hxblb,trachrsn,8
230,hxblb,hxliu,23
231,hxblb,Nestin,78
232,hxblbsch,hxliur,12
233,hxblbsch,NKX6.1,85
234,hxblbsch,ISL1,87
235,hxblbsch,hxblbsw,30
236,hxblbsch,NEFH (SMI32),87
237,hxblbsch,hxli,26
238,hxblbsch,hxliuarm,12
239,hxblbsch,hxlill,12
240,hxblbsch,TUBB3 (TuJ1),85
241,hxblbsch,hxlilft,9
242,hxblbsch,hxliuhnd,17
243,hxblbsch,hxliul,16
244,hxblbsch,hxlilr,13
245,hxblbsch,s100b,87
246,hxblbsch,pavyn,10
247,hxblbsch,hxlil,16
248,hxblbsch,hxlilleg,11
249,hxblbsch,trachrsn,8
250,hxblbsch,hxliu,21
251,hxblbsch,Nestin,72
252,hxblbsw,hxliur,5
253,hxblbsw,NKX6.1,21
254,hxblbsw,ISL1,21
255,hxblbsw,NEFH (SMI32),21
256,hxblbsw,hxli,12
257,hxblbsw,hxliuarm,6
258,hxblbsw,hxlill,7
259,hxblbsw,TUBB3 (TuJ1),21
260,hxblbsw,hxlilft,7
261,hxblbsw,hxliuhnd,8
262,hxblbsw,hxliul,8
263,hxblbsw,hxlilr,8
264,hxblbsw,s100b,21
265,hxblbsw,pavyn,2
266,hxblbsw,hxlil,10
267,hxblbsw,hxlilleg,8
268,hxblbsw,trachrsn,1
269,hxblbsw,hxliu,10
270,hxblbsw,Nestin,14
271,hxgen,NKX6.1,1
272,hxgen,ISL1,1
273,hxgen,hxli,3
274,hxgen,NEFH (SMI32),1
275,hxgen,hxlill,1
276,hxgen,TUBB3 (TuJ1),1
277,hxgen,hxlilft,2
278,hxgen,hxlilr,2
279,hxgen,hxliuhnd,1
280,hxgen,hxliul,1
281,hxgen,s100b,1
282,hxgen,pavyn,1
283,hxgen,hxlil,3
284,hxgen,hxliu,1
285,hxgen,Nestin,1
286,hxli,hxliur,207
287,hxli,ISL1,266
288,hxli,hxlill,235
289,hxli,TUBB3 (TuJ1),261
290,hxli,hxliul,205
291,hxli,pavyn,30
292,hxli,hxlil,371
293,hxli,hxliu,356
294,hxli,Nestin,229
295,hxli,NKX6.1,261
296,hxli,NEFH (SMI32),266
297,hxli,hxliuarm,130
298,hxli,hxlilft,205
299,hxli,hxliuhnd,237
300,hxli,s100b,256
301,hxli,hxlilleg,144
302,hxli,trachrsn,18
